commonname,lengthM,weight,age,sex,date,country,habitat,conservation
Freshwater Crocodile (Johnstone's),2.86,107.4,Adult,Male,31-03-2020,Australia,Gorges,Least Concern
Mugger Crocodile (Marsh Crocodile),2.87,160.3,Subadult,Female,16-03-2006,Iran,Lakes,Vulnerable
Philippine Crocodile,2.1,59.1,Adult,Male,29-06-2009,Philippines,Rivers,Critically Endangered
Cuban Crocodile,1.56,47.1,Juvenile,Female,12-09-2009,Cuba,Freshwater Wetlands,Critically Endangered
American Crocodile,0.58,75.8,Hatchling,Male,03-01-2025,Costa Rica,Estuaries,Vulnerable
Nile Crocodile,4.0,438.8,Subadult,Male,09-09-2011,Tanzania,Reservoirs,Least Concern
West African Dwarf Crocodile,1.05,11.9,Subadult,Male,27-09-2009,Cameroon,Forest Swamps,Vulnerable
Orinoco Crocodile,2.82,223.0,Adult,Unknown,03-02-2006,Venezuela,Large Rivers,Critically Endangered
Saltwater Crocodile,3.08,418.9,Juvenile,Female,10-06-2014,Malaysia,Estuaries,Least Concern
Siamese Crocodile,2.85,151.8,Adult,Female,23-07-2007,Cambodia,Swamps,Critically Endangered
Philippine Crocodile,2.31,84.8,Adult,Unknown,06-12-2025,Philippines,Rivers,Critically Endangered
Nile Crocodile,2.68,286.7,Juvenile,Unknown,09-03-2010,South Africa,Marshes,Least Concern
West African Slender-snouted Crocodile,2.08,82.8,Adult,Female,26-07-2021,Guinea,Shaded Forest Rivers,Critically Endangered
Nile Crocodile,5.18,848.2,Adult,Unknown,01-02-2007,Tanzania,Marshes,Least Concern
Morelet's Crocodile,2.67,118.9,Adult,Unknown,16-11-2024,Mexico,Swamps,Least Concern
Saltwater Crocodile,4.19,541.7,Adult,Female,18-09-2018,Australia,Mangroves,Least Concern
West African Dwarf Crocodile,1.28,15.4,Subadult,Unknown,03-01-2025,Ghana,Forest Swamps,Vulnerable
Orinoco Crocodile,3.25,253.9,Subadult,Unknown,30-12-2009,Colombia,Flooded Savannas,Critically Endangered
American Crocodile,1.78,96.7,Juvenile,Male,18-01-2014,Colombia,Coastal Lagoons,Vulnerable
Congo Dwarf Crocodile,1.51,23.7,Adult,Female,24-02-2013,Dem. Rep. Congo,Forest Swamps,Data Deficient
New Guinea Crocodile,1.76,48.7,Juvenile,Female,19-12-2012,Indonesia,Rivers,Least Concern
Hall's New Guinea Crocodile,2.33,69.2,Adult,Male,17-09-2007,Papua New Guinea,Freshwater Wetlands,Least Concern
Philippine Crocodile,2.02,71.7,Subadult,Male,10-03-2016,Philippines,Ponds,Critically Endangered
Congo Dwarf Crocodile,1.31,21.1,Subadult,Unknown,08-10-2024,Central African Rep.,Slow Streams,Data Deficient
Siamese Crocodile,2.76,125.2,Adult,Unknown,28-06-2016,Laos,Oxbow Lakes,Critically Endangered
New Guinea Crocodile,2.29,83.8,Subadult,Unknown,01-08-2019,Papua New Guinea,Rivers,Least Concern
New Guinea Crocodile,2.89,144.5,Adult,Unknown,10-10-2021,Indonesia,Swamps,Least Concern
West African Dwarf Crocodile,1.18,15.7,Adult,Male,30-10-2023,Guinea,Small Streams,Vulnerable
Congo Dwarf Crocodile,1.2,16.9,Adult,Unknown,08-07-2019,Central African Rep.,Forest Swamps,Data Deficient
Freshwater Crocodile (Johnstone's),1.47,30.9,Juvenile,Female,14-08-2023,Australia,Gorges,Least Concern
Congo Dwarf Crocodile,1.36,20.2,Adult,Male,12-03-2009,Dem. Rep. Congo,Forest Swamps,Data Deficient
Saltwater Crocodile,4.96,637.2,Subadult,Male,30-10-2025,Indonesia,Estuaries,Least Concern
Congo Dwarf Crocodile,1.11,14.6,Subadult,Unknown,27-08-2015,Dem. Rep. Congo,Forest Swamps,Data Deficient
West African Slender-snouted Crocodile,3.15,187.8,Adult,Male,28-08-2013,Liberia,Swamps,Critically Endangered
West African Dwarf Crocodile,1.64,25.0,Adult,Male,03-10-2008,Ghana,Forest Swamps,Vulnerable
Philippine Crocodile,2.48,104.1,Adult,Female,03-07-2019,Philippines,Ponds,Critically Endangered
Nile Crocodile,1.63,169.1,Juvenile,Unknown,27-01-2014,South Africa,Marshes,Least Concern
West African Crocodile,2.78,153.8,Adult,Unknown,10-01-2024,Mali,Lakes,Least Concern
Morelet's Crocodile,2.79,101.5,Subadult,Male,19-12-2016,Mexico,Swamps,Least Concern
Congo Dwarf Crocodile,1.35,23.0,Adult,Unknown,15-05-2013,Dem. Rep. Congo,Forest Swamps,Data Deficient
Saltwater Crocodile,3.62,437.6,Adult,Unknown,17-09-2012,India,Coastal Wetlands,Least Concern
Cuban Crocodile,2.61,119.8,Adult,Unknown,07-05-2015,Cuba,Swamps,Critically Endangered
Siamese Crocodile,2.18,76.2,Adult,Male,25-05-2011,Cambodia,Slow Rivers,Critically Endangered
Central African Slender-snouted Crocodile,2.06,75.7,Subadult,Male,10-01-2012,Cameroon,Forest Rivers,Endangered
Siamese Crocodile,2.92,150.7,Adult,Male,25-06-2019,Cambodia,Swamps,Critically Endangered
Congo Dwarf Crocodile,1.12,15.5,Adult,Unknown,13-09-2005,Central African Rep.,Forest Swamps,Data Deficient
Congo Dwarf Crocodile,1.47,25.1,Subadult,Female,02-01-2008,Central African Rep.,Forest Swamps,Data Deficient
Hall's New Guinea Crocodile,1.51,43.1,Juvenile,Male,14-09-2017,Papua New Guinea,Rivers,Least Concern
Saltwater Crocodile,3.65,449.3,Juvenile,Female,03-08-2025,Papua New Guinea,Estuaries,Least Concern
New Guinea Crocodile,2.26,83.5,Adult,Unknown,25-11-2008,Indonesia,Rivers,Least Concern
Hall's New Guinea Crocodile,1.34,43.5,Juvenile,Female,03-12-2015,Papua New Guinea,Freshwater Wetlands,Least Concern
Cuban Crocodile,1.51,59.1,Juvenile,Unknown,02-03-2010,Cuba,Swamps,Critically Endangered
Saltwater Crocodile,4.33,658.3,Adult,Unknown,30-04-2021,Malaysia,Tidal Rivers,Least Concern
Philippine Crocodile,1.67,48.8,Adult,Male,24-12-2018,Philippines,Freshwater Marshes,Critically Endangered
West African Slender-snouted Crocodile,2.94,142.5,Adult,Unknown,08-05-2020,Côte d'Ivoire,Shaded Forest Rivers,Critically Endangered
Orinoco Crocodile,1.9,121.2,Juvenile,Unknown,04-02-2017,Venezuela,Flooded Savannas,Critically Endangered
Borneo Crocodile (disputed),2.81,138.5,Adult,Female,11-11-2012,Indonesia,Estuarine Systems,Data Deficient
Siamese Crocodile,2.97,181.1,Adult,Male,28-08-2016,Cambodia,Swamps,Critically Endangered
New Guinea Crocodile,2.73,104.6,Adult,Unknown,15-03-2013,Indonesia,Rivers,Least Concern
Philippine Crocodile,1.73,45.3,Subadult,Unknown,06-12-2013,Philippines,Ponds,Critically Endangered
Mugger Crocodile (Marsh Crocodile),3.22,193.4,Subadult,Unknown,03-03-2006,Sri Lanka,Marshes,Vulnerable
American Crocodile,3.3,218.0,Subadult,Female,09-10-2018,United States of America,Mangroves,Vulnerable
Orinoco Crocodile,2.8,218.0,Subadult,Unknown,31-08-2020,Venezuela,Large Rivers,Critically Endangered
Hall's New Guinea Crocodile,2.28,73.1,Adult,Unknown,06-05-2005,Papua New Guinea,Freshwater Wetlands,Least Concern
Freshwater Crocodile (Johnstone's),1.75,42.5,Juvenile,Female,23-11-2017,Australia,Billabongs,Least Concern
Borneo Crocodile (disputed),3.0,130.3,Adult,Female,26-08-2024,Malaysia,Estuarine Systems,Data Deficient
Borneo Crocodile (disputed),2.23,83.7,Adult,Male,09-06-2017,Indonesia,Estuarine Systems,Data Deficient
Hall's New Guinea Crocodile,1.86,50.8,Juvenile,Male,29-07-2024,Papua New Guinea,Freshwater Wetlands,Least Concern
Philippine Crocodile,1.57,40.7,Juvenile,Male,21-02-2022,Philippines,Rivers,Critically Endangered
New Guinea Crocodile,2.33,82.0,Adult,Unknown,15-04-2011,Indonesia,Lakes,Least Concern
Saltwater Crocodile,3.81,493.9,Subadult,Female,17-06-2020,Australia,Estuaries,Least Concern
West African Crocodile,1.36,45.7,Juvenile,Female,15-02-2009,Chad,Lakes,Least Concern
Borneo Crocodile (disputed),0.87,30.9,Juvenile,Male,16-06-2017,Malaysia,Estuarine Systems,Data Deficient
Cuban Crocodile,1.94,71.6,Juvenile,Unknown,28-02-2021,Cuba,Swamps,Critically Endangered
Siamese Crocodile,2.81,127.1,Adult,Female,26-10-2023,Cambodia,Swamps,Critically Endangered
Siamese Crocodile,2.13,74.7,Adult,Unknown,28-01-2017,Thailand,Swamps,Critically Endangered
New Guinea Crocodile,2.59,90.2,Subadult,Male,15-05-2019,Indonesia,Swamps,Least Concern
American Crocodile,3.05,188.0,Adult,Female,01-02-2011,Colombia,Mangroves,Vulnerable
West African Slender-snouted Crocodile,3.32,230.9,Adult,Unknown,25-10-2021,Guinea,Shaded Forest Rivers,Critically Endangered
West African Crocodile,2.28,97.8,Adult,Female,22-02-2010,Mauritania,Oases,Least Concern
West African Slender-snouted Crocodile,2.95,170.0,Subadult,Female,21-04-2017,Côte d'Ivoire,Shaded Forest Rivers,Critically Endangered
Orinoco Crocodile,3.49,305.4,Adult,Unknown,12-12-2011,Colombia,Flooded Savannas,Critically Endangered
Mugger Crocodile (Marsh Crocodile),0.61,56.4,Hatchling,Female,08-06-2011,Pakistan,Lakes,Vulnerable
Mugger Crocodile (Marsh Crocodile),2.8,149.4,Subadult,Unknown,11-02-2023,Nepal,Reservoirs,Vulnerable
Siamese Crocodile,2.92,166.7,Adult,Female,17-09-2020,Vietnam,Slow Rivers,Critically Endangered
Nile Crocodile,2.04,168.7,Juvenile,Male,19-05-2008,Kenya,Reservoirs,Least Concern
New Guinea Crocodile,0.24,32.3,Hatchling,Male,05-04-2006,Indonesia,Swamps,Least Concern
Congo Dwarf Crocodile,0.9,9.0,Juvenile,Female,18-07-2010,Dem. Rep. Congo,Forest Swamps,Data Deficient
Morelet's Crocodile,2.59,87.1,Subadult,Unknown,07-09-2016,Mexico,Rivers,Least Concern
Freshwater Crocodile (Johnstone's),0.88,20.5,Juvenile,Male,15-03-2005,Australia,Gorges,Least Concern
Cuban Crocodile,2.92,139.4,Adult,Unknown,07-05-2006,Cuba,Swamps,Critically Endangered
Congo Dwarf Crocodile,1.09,13.9,Subadult,Female,01-04-2021,Dem. Rep. Congo,Slow Streams,Data Deficient
Central African Slender-snouted Crocodile,2.64,129.9,Adult,Female,05-06-2021,Gabon,Swamps,Endangered
Orinoco Crocodile,0.65,97.9,Hatchling,Male,20-10-2024,Venezuela,Flooded Savannas,Critically Endangered
New Guinea Crocodile,2.5,97.3,Subadult,Female,12-03-2014,Indonesia,Lakes,Least Concern
West African Dwarf Crocodile,0.15,5.4,Hatchling,Male,12-11-2025,Sierra Leone,Small Streams,Vulnerable
West African Slender-snouted Crocodile,2.87,168.0,Adult,Female,12-11-2016,Guinea,Shaded Forest Rivers,Critically Endangered
American Crocodile,2.02,92.5,Juvenile,Unknown,09-07-2017,Colombia,Coastal Lagoons,Vulnerable
West African Slender-snouted Crocodile,3.28,217.2,Adult,Unknown,19-07-2008,Ghana,Swamps,Critically Endangered
New Guinea Crocodile,1.46,41.8,Juvenile,Unknown,09-10-2025,Indonesia,Swamps,Least Concern
West African Slender-snouted Crocodile,2.28,114.0,Adult,Unknown,20-06-2016,Ghana,Shaded Forest Rivers,Critically Endangered
Saltwater Crocodile,4.16,558.3,Subadult,Unknown,03-08-2025,India,Estuaries,Least Concern
Saltwater Crocodile,4.78,696.0,Adult,Male,02-11-2011,Philippines,Estuaries,Least Concern
Congo Dwarf Crocodile,1.28,19.0,Adult,Female,20-11-2021,Dem. Rep. Congo,Forest Swamps,Data Deficient
Freshwater Crocodile (Johnstone's),2.04,59.3,Subadult,Male,15-10-2015,Australia,Billabongs,Least Concern
Philippine Crocodile,2.04,65.8,Subadult,Male,25-01-2020,Philippines,Rivers,Critically Endangered
Hall's New Guinea Crocodile,3.03,145.9,Subadult,Unknown,09-04-2008,Papua New Guinea,Freshwater Wetlands,Least Concern
Philippine Crocodile,1.42,33.3,Juvenile,Female,24-07-2020,Philippines,Rivers,Critically Endangered
West African Dwarf Crocodile,0.78,6.5,Juvenile,Female,24-10-2019,Liberia,Small Streams,Vulnerable
Nile Crocodile,4.1,513.9,Adult,Female,15-11-2015,Sudan,Rivers,Least Concern
Philippine Crocodile,1.61,40.4,Subadult,Female,21-12-2012,Philippines,Freshwater Marshes,Critically Endangered
Siamese Crocodile,0.43,28.5,Hatchling,Male,31-08-2012,Vietnam,Oxbow Lakes,Critically Endangered
American Crocodile,3.25,194.1,Subadult,Female,28-05-2025,Venezuela,Mangroves,Vulnerable
Congo Dwarf Crocodile,0.84,9.9,Juvenile,Male,25-08-2014,Dem. Rep. Congo,Forest Swamps,Data Deficient
American Crocodile,4.07,352.7,Adult,Female,28-09-2024,Colombia,Brackish Rivers,Vulnerable
West African Slender-snouted Crocodile,0.88,37.6,Juvenile,Unknown,03-11-2018,Liberia,Shaded Forest Rivers,Critically Endangered
Mugger Crocodile (Marsh Crocodile),3.25,186.3,Adult,Unknown,28-07-2019,Nepal,Rivers,Vulnerable
American Crocodile,3.14,196.7,Adult,Male,04-08-2014,Colombia,Coastal Lagoons,Vulnerable
New Guinea Crocodile,2.6,106.1,Adult,Male,05-09-2016,Papua New Guinea,Swamps,Least Concern
Saltwater Crocodile,6.12,1139.7,Adult,Male,14-07-2011,Papua New Guinea,Coastal Wetlands,Least Concern
Freshwater Crocodile (Johnstone's),1.58,36.6,Juvenile,Unknown,25-03-2016,Australia,Freshwater Rivers,Least Concern
Cuban Crocodile,3.27,191.8,Adult,Female,09-01-2007,Cuba,Swamps,Critically Endangered
Morelet's Crocodile,1.82,59.0,Adult,Unknown,24-09-2018,Mexico,Rivers,Least Concern
West African Crocodile,0.9,37.1,Juvenile,Male,31-05-2014,Niger,Lakes,Least Concern
Freshwater Crocodile (Johnstone's),2.06,63.1,Subadult,Unknown,10-02-2023,Australia,Gorges,Least Concern
Mugger Crocodile (Marsh Crocodile),0.64,47.8,Hatchling,Unknown,04-07-2017,Sri Lanka,Lakes,Vulnerable
Cuban Crocodile,0.79,48.4,Juvenile,Male,28-01-2020,Cuba,Freshwater Wetlands,Critically Endangered
Hall's New Guinea Crocodile,2.81,110.9,Adult,Female,24-07-2015,Papua New Guinea,Freshwater Wetlands,Least Concern
New Guinea Crocodile,2.6,89.9,Adult,Unknown,12-11-2016,Papua New Guinea,Swamps,Least Concern
Borneo Crocodile (disputed),1.66,51.4,Juvenile,Unknown,01-03-2016,Malaysia,Rivers,Data Deficient
Freshwater Crocodile (Johnstone's),1.91,54.2,Adult,Female,08-01-2006,Australia,Billabongs,Least Concern
Philippine Crocodile,1.46,34.7,Adult,Female,16-03-2022,Philippines,Freshwater Marshes,Critically Endangered
New Guinea Crocodile,2.42,76.0,Subadult,Male,20-10-2015,Papua New Guinea,Rivers,Least Concern
Congo Dwarf Crocodile,1.73,36.9,Adult,Unknown,07-01-2017,Dem. Rep. Congo,Forest Swamps,Data Deficient
Hall's New Guinea Crocodile,2.41,75.0,Adult,Male,08-05-2018,Papua New Guinea,Rivers,Least Concern
Saltwater Crocodile,0.53,263.9,Hatchling,Unknown,24-07-2005,Papua New Guinea,Mangroves,Least Concern
New Guinea Crocodile,3.12,166.5,Adult,Unknown,24-12-2007,Papua New Guinea,Rivers,Least Concern
West African Slender-snouted Crocodile,3.07,158.5,Adult,Male,23-06-2012,Côte d'Ivoire,Shaded Forest Rivers,Critically Endangered
West African Dwarf Crocodile,0.46,5.2,Juvenile,Unknown,28-02-2012,Côte d'Ivoire,Forest Swamps,Vulnerable
Cuban Crocodile,2.92,146.9,Subadult,Unknown,29-06-2010,Cuba,Freshwater Wetlands,Critically Endangered
New Guinea Crocodile,2.02,62.4,Subadult,Unknown,16-05-2018,Indonesia,Rivers,Least Concern
Freshwater Crocodile (Johnstone's),1.89,42.6,Adult,Female,26-09-2017,Australia,Freshwater Rivers,Least Concern
Morelet's Crocodile,1.88,60.1,Juvenile,Female,17-10-2013,Mexico,Lagoons,Least Concern
New Guinea Crocodile,1.78,55.6,Juvenile,Male,24-05-2016,Papua New Guinea,Swamps,Least Concern
New Guinea Crocodile,1.04,31.5,Juvenile,Female,11-08-2013,Papua New Guinea,Swamps,Least Concern
Borneo Crocodile (disputed),2.99,134.5,Adult,Male,01-08-2021,Malaysia,Rivers,Data Deficient
New Guinea Crocodile,1.84,60.9,Juvenile,Female,06-05-2012,Indonesia,Rivers,Least Concern
American Crocodile,3.07,195.5,Adult,Unknown,07-05-2008,Colombia,Mangroves,Vulnerable
West African Slender-snouted Crocodile,2.92,161.0,Subadult,Female,02-01-2007,Ghana,Shaded Forest Rivers,Critically Endangered
West African Crocodile,0.48,35.1,Hatchling,Male,26-04-2024,Niger,Rivers,Least Concern
Borneo Crocodile (disputed),3.44,197.1,Adult,Unknown,21-11-2008,Malaysia,Rivers,Data Deficient
Congo Dwarf Crocodile,1.52,22.6,Adult,Female,04-10-2019,Central African Rep.,Forest Swamps,Data Deficient
Cuban Crocodile,2.11,77.1,Subadult,Unknown,25-05-2023,Cuba,Swamps,Critically Endangered
Mugger Crocodile (Marsh Crocodile),2.66,116.2,Adult,Female,13-10-2025,Iran,Reservoirs,Vulnerable
Saltwater Crocodile,3.18,473.1,Juvenile,Female,06-06-2015,Philippines,Estuaries,Least Concern
American Crocodile,3.02,183.4,Adult,Unknown,04-01-2012,Venezuela,Coastal Lagoons,Vulnerable
Congo Dwarf Crocodile,1.51,28.4,Subadult,Female,04-10-2008,Dem. Rep. Congo,Slow Streams,Data Deficient
Saltwater Crocodile,5.1,698.8,Adult,Male,08-06-2011,Papua New Guinea,Estuaries,Least Concern
West African Dwarf Crocodile,1.31,17.3,Subadult,Unknown,29-07-2021,Sierra Leone,Small Streams,Vulnerable
Orinoco Crocodile,2.88,197.6,Subadult,Male,15-10-2023,Colombia,Flooded Savannas,Critically Endangered
Mugger Crocodile (Marsh Crocodile),1.23,63.7,Juvenile,Male,04-10-2008,Pakistan,Marshes,Vulnerable
Freshwater Crocodile (Johnstone's),2.07,53.4,Adult,Female,08-04-2005,Australia,Billabongs,Least Concern
New Guinea Crocodile,2.16,70.5,Adult,Female,07-07-2012,Indonesia,Swamps,Least Concern
Siamese Crocodile,2.51,121.9,Adult,Male,30-08-2016,Laos,Oxbow Lakes,Critically Endangered
New Guinea Crocodile,1.1,32.6,Juvenile,Male,23-11-2018,Papua New Guinea,Lakes,Least Concern
Morelet's Crocodile,2.57,101.4,Adult,Male,08-08-2020,Mexico,Rivers,Least Concern
West African Slender-snouted Crocodile,2.93,178.8,Adult,Unknown,08-04-2022,Liberia,Swamps,Critically Endangered
American Crocodile,3.36,196.1,Adult,Male,19-11-2014,Mexico,Brackish Rivers,Vulnerable
West African Crocodile,2.81,134.0,Adult,Female,17-01-2021,Niger,Rivers,Least Concern
American Crocodile,0.49,63.2,Hatchling,Female,16-04-2025,Colombia,Coastal Lagoons,Vulnerable
Freshwater Crocodile (Johnstone's),2.34,76.8,Subadult,Male,09-06-2017,Australia,Billabongs,Least Concern
Freshwater Crocodile (Johnstone's),2.31,62.6,Adult,Unknown,02-04-2009,Australia,Freshwater Rivers,Least Concern
Nile Crocodile,3.91,512.7,Subadult,Female,15-05-2005,Kenya,Marshes,Least Concern
New Guinea Crocodile,2.26,82.0,Adult,Male,15-08-2021,Papua New Guinea,Lakes,Least Concern
Cuban Crocodile,2.91,114.2,Adult,Female,30-05-2023,Cuba,Swamps,Critically Endangered
American Crocodile,3.85,273.7,Adult,Unknown,20-03-2020,Colombia,Mangroves,Vulnerable
Congo Dwarf Crocodile,1.06,11.2,Subadult,Female,08-10-2008,Central African Rep.,Forest Swamps,Data Deficient
Mugger Crocodile (Marsh Crocodile),2.48,101.4,Subadult,Male,07-11-2020,Iran,Reservoirs,Vulnerable
Central African Slender-snouted Crocodile,2.55,114.9,Adult,Unknown,07-07-2020,Cameroon,Forest Rivers,Endangered
American Crocodile,1.54,91.4,Juvenile,Unknown,20-05-2016,Cuba,Brackish Rivers,Vulnerable
Siamese Crocodile,2.09,89.4,Subadult,Male,19-06-2019,Laos,Swamps,Critically Endangered
Borneo Crocodile (disputed),2.66,96.8,Adult,Male,28-01-2025,Indonesia,Estuarine Systems,Data Deficient
Borneo Crocodile (disputed),1.95,70.7,Juvenile,Female,29-12-2024,Indonesia,Rivers,Data Deficient
Central African Slender-snouted Crocodile,2.2,79.3,Subadult,Female,19-01-2011,Cameroon,Swamps,Endangered
Saltwater Crocodile,4.33,550.0,Adult,Unknown,08-07-2008,Malaysia,Mangroves,Least Concern
Mugger Crocodile (Marsh Crocodile),2.52,118.3,Adult,Female,29-04-2005,Pakistan,Rivers,Vulnerable
New Guinea Crocodile,2.25,86.8,Adult,Female,29-12-2005,Papua New Guinea,Swamps,Least Concern
Saltwater Crocodile,3.74,517.7,Subadult,Unknown,31-05-2021,Papua New Guinea,Mangroves,Least Concern
Hall's New Guinea Crocodile,3.25,147.9,Adult,Unknown,05-10-2021,Papua New Guinea,Rivers,Least Concern
Cuban Crocodile,1.94,65.4,Juvenile,Male,27-08-2011,Cuba,Swamps,Critically Endangered
Philippine Crocodile,2.62,117.5,Adult,Male,04-08-2013,Philippines,Rivers,Critically Endangered
Hall's New Guinea Crocodile,1.23,38.0,Juvenile,Unknown,25-09-2015,Papua New Guinea,Freshwater Wetlands,Least Concern
Hall's New Guinea Crocodile,2.95,126.0,Adult,Female,02-12-2020,Papua New Guinea,Rivers,Least Concern
American Crocodile,3.75,239.0,Adult,Male,15-06-2007,Cuba,Mangroves,Vulnerable
Cuban Crocodile,2.63,103.0,Adult,Unknown,24-11-2025,Cuba,Swamps,Critically Endangered
Borneo Crocodile (disputed),2.31,88.6,Juvenile,Female,24-12-2017,Malaysia,Estuarine Systems,Data Deficient
West African Dwarf Crocodile,1.33,19.7,Adult,Male,30-04-2008,Liberia,Small Streams,Vulnerable
Orinoco Crocodile,3.87,347.9,Adult,Unknown,27-10-2022,Venezuela,Large Rivers,Critically Endangered
Morelet's Crocodile,2.16,65.1,Adult,Male,06-12-2019,Belize,Rivers,Least Concern
Hall's New Guinea Crocodile,2.81,97.2,Adult,Male,11-04-2015,Papua New Guinea,Freshwater Wetlands,Least Concern
Congo Dwarf Crocodile,1.56,32.2,Adult,Male,08-12-2022,Central African Rep.,Slow Streams,Data Deficient
Central African Slender-snouted Crocodile,0.7,33.4,Juvenile,Unknown,22-10-2016,Cameroon,Swamps,Endangered
Nile Crocodile,3.83,461.5,Subadult,Unknown,05-04-2006,Egypt,Marshes,Least Concern
Cuban Crocodile,3.01,141.0,Adult,Male,29-04-2021,Cuba,Swamps,Critically Endangered
Freshwater Crocodile (Johnstone's),0.91,26.9,Juvenile,Unknown,10-07-2012,Australia,Gorges,Least Concern
American Crocodile,2.68,141.8,Adult,Male,21-06-2009,Cuba,Brackish Rivers,Vulnerable
Congo Dwarf Crocodile,1.45,23.7,Adult,Male,08-08-2005,Dem. Rep. Congo,Forest Swamps,Data Deficient
Freshwater Crocodile (Johnstone's),0.88,26.6,Juvenile,Male,08-06-2018,Australia,Gorges,Least Concern
Borneo Crocodile (disputed),3.52,191.7,Adult,Unknown,24-05-2005,Malaysia,Rivers,Data Deficient
Cuban Crocodile,2.88,125.2,Subadult,Female,18-07-2011,Cuba,Freshwater Wetlands,Critically Endangered
Morelet's Crocodile,2.82,133.4,Adult,Female,17-05-2020,Guatemala,Lagoons,Least Concern
Morelet's Crocodile,3.0,129.6,Adult,Female,19-08-2012,Mexico,Swamps,Least Concern
Cuban Crocodile,2.34,94.9,Adult,Unknown,25-12-2020,Cuba,Swamps,Critically Endangered
American Crocodile,1.68,102.0,Juvenile,Unknown,16-02-2022,Costa Rica,Estuaries,Vulnerable
Nile Crocodile,3.43,334.3,Adult,Female,30-06-2020,Sudan,Rivers,Least Concern
Nile Crocodile,5.31,998.3,Adult,Male,10-07-2015,Kenya,Marshes,Least Concern
American Crocodile,2.86,144.4,Adult,Male,14-01-2007,Cuba,Mangroves,Vulnerable
Hall's New Guinea Crocodile,1.61,39.8,Juvenile,Male,20-01-2021,Papua New Guinea,Rivers,Least Concern
Congo Dwarf Crocodile,1.37,18.9,Subadult,Unknown,30-05-2007,Dem. Rep. Congo,Slow Streams,Data Deficient
Borneo Crocodile (disputed),0.93,36.6,Juvenile,Unknown,20-06-2011,Indonesia,Rivers,Data Deficient
Central African Slender-snouted Crocodile,2.29,88.5,Subadult,Female,27-03-2009,Cameroon,Swamps,Endangered
Orinoco Crocodile,2.63,194.4,Adult,Male,20-03-2008,Colombia,Flooded Savannas,Critically Endangered
Orinoco Crocodile,2.66,209.5,Juvenile,Female,26-02-2022,Colombia,Flooded Savannas,Critically Endangered
Central African Slender-snouted Crocodile,2.74,124.0,Adult,Male,19-01-2022,Cameroon,Swamps,Endangered
Philippine Crocodile,1.82,56.7,Adult,Male,19-02-2022,Philippines,Rivers,Critically Endangered
West African Crocodile,2.76,126.9,Adult,Female,04-11-2024,Senegal,Rivers,Least Concern
Borneo Crocodile (disputed),2.52,106.0,Adult,Unknown,05-02-2017,Malaysia,Estuarine Systems,Data Deficient
Orinoco Crocodile,4.22,441.8,Subadult,Male,31-03-2018,Venezuela,Large Rivers,Critically Endangered
Hall's New Guinea Crocodile,3.22,149.7,Subadult,Male,31-10-2019,Papua New Guinea,Freshwater Wetlands,Least Concern
Freshwater Crocodile (Johnstone's),0.27,19.9,Hatchling,Female,28-09-2017,Australia,Billabongs,Least Concern
Siamese Crocodile,1.87,57.7,Juvenile,Female,18-02-2011,Cambodia,Oxbow Lakes,Critically Endangered
Central African Slender-snouted Crocodile,2.4,98.0,Subadult,Female,09-01-2014,Gabon,Swamps,Endangered
Orinoco Crocodile,3.77,400.0,Adult,Female,23-04-2019,Colombia,Large Rivers,Critically Endangered
Philippine Crocodile,1.74,52.7,Subadult,Male,22-03-2019,Philippines,Rivers,Critically Endangered
Freshwater Crocodile (Johnstone's),0.84,25.0,Juvenile,Female,21-11-2015,Australia,Billabongs,Least Concern
Philippine Crocodile,1.45,41.6,Juvenile,Female,19-07-2022,Philippines,Freshwater Marshes,Critically Endangered
New Guinea Crocodile,2.96,118.0,Adult,Unknown,26-11-2023,Papua New Guinea,Lakes,Least Concern
West African Dwarf Crocodile,1.61,25.0,Adult,Female,28-01-2023,Cameroon,Forest Swamps,Vulnerable
Philippine Crocodile,2.25,74.6,Subadult,Female,27-08-2015,Philippines,Rivers,Critically Endangered
Hall's New Guinea Crocodile,0.57,33.6,Hatchling,Male,29-06-2020,Papua New Guinea,Rivers,Least Concern
West African Crocodile,2.7,118.5,Adult,Female,18-09-2013,Mali,Lakes,Least Concern
Freshwater Crocodile (Johnstone's),2.01,60.8,Adult,Unknown,12-02-2012,Australia,Freshwater Rivers,Least Concern
American Crocodile,3.94,324.6,Adult,Male,29-06-2023,Cuba,Mangroves,Vulnerable
American Crocodile,0.28,73.1,Hatchling,Unknown,12-12-2014,United States of America,Estuaries,Vulnerable
West African Crocodile,2.41,96.7,Adult,Unknown,12-02-2022,Mauritania,Oases,Least Concern
New Guinea Crocodile,2.22,66.0,Subadult,Female,30-01-2009,Indonesia,Swamps,Least Concern
Nile Crocodile,3.69,379.4,Adult,Male,12-02-2006,South Africa,Reservoirs,Least Concern
Cuban Crocodile,2.63,97.3,Subadult,Unknown,23-07-2009,Cuba,Swamps,Critically Endangered
Central African Slender-snouted Crocodile,2.67,143.2,Adult,Male,20-05-2014,Cameroon,Swamps,Endangered
Nile Crocodile,3.78,419.4,Adult,Female,04-12-2006,Kenya,Reservoirs,Least Concern
New Guinea Crocodile,2.54,84.7,Adult,Male,19-06-2012,Papua New Guinea,Swamps,Least Concern
Saltwater Crocodile,3.61,399.7,Juvenile,Male,03-11-2010,India,Coastal Wetlands,Least Concern
